x,y,orientation,landmark,WiFiCalibrated
0.2820942950195753,0.8309810217886406,0.0,None,True
0.2753099186862582,0.8214606608943202,0.0,None,True
0.24693476963724675,0.7005568804471601,0.0,Back Gate,True
0.1827881786421528,0.6061741752235801,0.0,Back Gate,True
0.16656250843872344,0.51904868761179,0.0,Back Gate,True
0.14235710157230289,0.401268543805895,0.0,None,True
0.13961575960968087,0.4626497019029475,0.0,None,True
0.13461518304013453,0.39861989095147377,0.0,Small Theater,True
0.09068673710830256,0.39603632547573686,0.0,Small Theater,True
0.06380799326003364,0.3752732277378684,0.0,Small Theater,True
0.060213026041781526,0.3072327838689342,0.0,Small Theater,True
0.06956728360912606,0.3095384769344671,0.0,Small Theater,True
0.07424441239279833,0.31069132346723355,0.0,Small Theater,True
