time,seconds_elapsed,dBFS
1733404746186000000,40.354999755859374,-32
1733404746304000000,40.473,-24
1733404746421000000,40.59,-31
1733404746541000000,40.71,-31
1733404746656000000,40.825,-24
1733404746772000000,40.941,-21
1733404746891000000,41.06,-22
1733404747011000000,41.18,-26
1733404747125000000,41.294,-25
1733404747242000000,41.41099975585937,-16
1733404747359000000,41.528,-16
1733404747476000000,41.645,-20
1733404747594000000,41.762999755859376,-18
1733404747711000000,41.88,-21
1733404747830000000,41.999000244140625,-22
1733404747945000000,42.114,-21
1733404748061000000,42.23,-16
1733404748179000000,42.348,-27
1733404748297000000,42.466,-27
1733404748413000000,42.582,-22
1733404748530000000,42.698999755859376,-26
1733404748649000000,42.818,-29
1733404748765000000,42.934,-24
1733404748882000000,43.05099975585937,-17
1733404748999000000,43.168,-18
1733404749121000000,43.29,-17
1733404749234000000,43.402999755859376,-18
1733404749351000000,43.52,-16
1733404749469000000,43.638,-20
1733404749585000000,43.754,-17
1733404749702000000,43.871000244140625,-18
1733404749820000000,43.989,-13
1733404749937000000,44.106,-22
1733404750054000000,44.22300024414063,-28
1733404750172000000,44.341,-26
1733404750291000000,44.46,-27
1733404750406000000,44.575000244140625,-23
1733404750523000000,44.692,-22
1733404750640000000,44.809,-24
1733404750758000000,44.92700024414062,-24
1733404750874000000,45.04299975585938,-19
1733404750992000000,45.161,-19
1733404751109000000,45.278,-19
1733404751226000000,45.394999755859374,-8
1733404751344000000,45.513,-11
1733404751460000000,45.629,-22
1733404751580000000,45.749,-20
1733404751695000000,45.864,-22
1733404751813000000,45.982,-15
1733404751931000000,46.1,-14
1733404752046000000,46.215000244140626,-15
1733404752163000000,46.332,-22
1733404752280000000,46.449,-24
1733404752401000000,46.57,-30
1733404752515000000,46.684,-27
1733404752633000000,46.802,-21
1733404752749000000,46.918,-18
1733404752867000000,47.036,-15
1733404752983000000,47.152,-22
1733404753101000000,47.27,-17
1733404753222000000,47.39100024414063,-19
1733404753335000000,47.504,-16
1733404753452000000,47.621,-16
1733404753573000000,47.742,-25
1733404753689000000,47.858,-26
1733404753804000000,47.973,-26
1733404753921000000,48.09,-23
1733404754040000000,48.209,-21
1733404754155000000,48.324,-14
1733404754276000000,48.445,-18
1733404754390000000,48.55900024414063,-15
