time,seconds_elapsed,lux
1733230363077669600,3.297669677734375,145
1733230363117667600,3.33766748046875,139
1733230363157815000,3.37781494140625,133
1733230363197756200,3.417756103515625,126
1733230363237896200,3.457896240234375,120
1733230363277692000,3.49769189453125,114
1733230363317703200,3.537703125,107
1733230363357818000,3.577818115234375,102
1733230363397674000,3.617674072265625,94
1733230363437764600,3.6577646484375,86
1733230363477647600,3.697647705078125,76
1733230363517812200,3.737812255859375,65
1733230363557664300,3.777664306640625,56
1733230363597689900,3.81768994140625,48
1733230363637640400,3.857640380859375,39
1733230363677689600,3.897689697265625,30
1733230363717714200,3.937714111328125,22
1733230363757656600,3.977656494140625,14
1733230363797667000,4.0176669921875,11
1733230363957679400,4.177679443359375,12
1733230363997732400,4.217732421875,11
1733230364117654500,4.337654541015625,10
1733230364157687800,4.377687744140625,8
1733230364277681400,4.497681396484375,19
1733230364317691400,4.53769140625,31
1733230364357677600,4.577677490234375,43
1733230364397711000,4.617711181640625,55
1733230364517649700,4.737649658203125,54
1733230364637654300,4.857654296875,53
1733230364997653200,5.2176533203125,52
1733230365117644000,5.33764404296875,51
1733230365197751000,5.4177509765625,50
1733230365357771300,5.577771240234375,51
1733230365477652200,5.69765234375,52
1733230365597800000,5.817800048828125,53
1733230365757658400,5.977658447265625,44
1733230365797807400,6.017807373046875,35
1733230365837677600,6.057677490234375,27
1733230365877723000,6.097722900390625,21
1733230365997650000,6.21764990234375,26
1733230366037768000,6.257767822265625,30
1733230366077659400,6.297659423828125,34
1733230366117713200,6.337713134765625,36
1733230366157778000,6.37777783203125,39
1733230366197685800,6.417685791015625,43
1733230366237769500,6.45776953125,49
1733230366277696300,6.4976962890625,56
1733230366317845200,6.53784521484375,64
1733230366357696300,6.5776962890625,71
1733230366397689600,6.617689697265625,79
1733230366437686500,6.6576865234375,86
1733230366477654500,6.697654541015625,94
1733230366517660400,6.737660400390625,100
1733230366557690400,6.7776904296875,106
1733230366597734100,6.817734130859375,112
1733230366637669400,6.85766943359375,118
1733230366677660000,6.897659912109375,127
1733230366717664500,6.93766455078125,135
1733230366757816300,6.97781640625,142
1733230366797678800,7.017678955078125,150
1733230366837660700,7.05766064453125,160
1733230366877798400,7.09779833984375,169
1733230366917637600,7.1376376953125,177
1733230366957676300,7.17767626953125,183
1733230366997674500,7.217674560546875,188
1733230367037682700,7.2576826171875,196
1733230367077647600,7.297647705078125,206
1733230367117679400,7.337679443359375,241
1733230367157673200,7.377673095703125,246
1733230367197800000,7.417800048828125,251
1733230367237652200,7.45765234375,256
1733230367277723000,7.497722900390625,259
1733230367317691100,7.537691162109375,262
1733230367357649200,7.577649169921875,265
1733230367397853700,7.617853759765625,269
1733230367437810000,7.657809814453125,276
1733230367477784800,7.697784912109375,283
1733230367517520000,7.737519775390625,289
1733230367557532000,7.777531982421875,294
1733230367597695700,7.81769580078125,300
1733230367637506000,7.857506103515625,305
1733230367677564700,7.897564697265625,309
1733230367717658400,7.937658447265625,313
1733230367757564700,7.977564697265625,315
1733230367797707300,8.017707275390626,317
1733230367837676500,8.057676513671876,318
1733230367877552000,8.09755224609375,322
1733230367917522400,8.1375224609375,325
1733230367957529300,8.177529296875,329
1733230367997634300,8.21763427734375,333
1733230368037544400,8.25754443359375,337
1733230368077568300,8.297568359375,340
1733230368117562400,8.337562255859375,343
1733230368157677000,8.377677001953124,348
1733230368197693400,8.417693359375,351
1733230368237559300,8.457559326171875,355
1733230368277771000,8.49777099609375,359
1733230368317622000,8.5376220703125,362
1733230368357544000,8.5775439453125,365
1733230368397546800,8.617546630859374,368
1733230368437657600,8.65765771484375,372
1733230368477632800,8.6976328125,377
1733230368517550300,8.73755029296875,381
1733230368557571800,8.77757177734375,388
1733230368597588500,8.81758837890625,394
1733230368637557800,8.857557861328125,400
1733230368677612800,8.89761279296875,407
1733230368717599700,8.937599853515625,411
1733230368757632000,8.977632080078125,413
1733230368917560000,9.13756005859375,411
1733230368957708800,9.177708740234374,407
1733230368997672000,9.217671875,403
1733230369037555500,9.257555419921875,399
1733230369077540600,9.29754052734375,394
1733230369117568300,9.337568359375,388
1733230369157728000,9.37772802734375,383
1733230369197548800,9.417548828125,377
1733230369237688300,9.457688232421875,371
1733230369277563600,9.497563720703125,365
1733230369317690400,9.5376904296875,358
1733230369357535200,9.57753515625,351
1733230369397658600,9.61765869140625,343
1733230369437740500,9.657740478515626,334
1733230369477547000,9.697547119140625,324
1733230369517517000,9.73751708984375,314
1733230369557557500,9.7775576171875,306
1733230369597566700,9.817566650390624,300
1733230369637588700,9.857588623046874,296
1733230369677545500,9.89754541015625,291
1733230369717656300,9.93765625,284
1733230369757592000,9.977592041015624,276
1733230369797582000,10.01758203125,266
1733230369837600300,10.057600341796874,258
1733230369877567000,10.09756689453125,252
1733230369917548300,10.13754833984375,246
1733230369957634300,10.17763427734375,244
1733230369997606700,10.217606689453126,242
1733230370037551900,10.2575517578125,240
1733230370077539600,10.29753955078125,239
1733230370117540400,10.337540283203126,238
1733230370197564000,10.41756396484375,237
